Model,Test R²,Test MAE,Test RMSE,Test MAPE,Test MdAPE
XGBoost,0.8522318326236356,224814.7521159867,400199.52236306533,19.03973704087918,12.914807765151515
Random Forest,0.7893096036240597,261968.58379324927,477868.59758365294,21.720591338648294,13.101442511019442
CatBoost,0.8199512967269361,262212.1118846039,441754.64148383617,23.4385715296285,15.979513819175972
Linear Regression,0.8013649509147782,284332.4315026241,463995.81490420544,26.444182698512762,18.84041240645709
Decision Tree,0.6711182756049856,359747.66898061795,597043.5250831093,33.525784934648236,20.427781505182395
